Name,Revision_nb,Status
Crixivan,39,Withdrawn
Senstend,0,Withdrawn
Imatinib-actavis,13,Withdrawn
Starlix,15,Withdrawn
Rasilez-hct,17,Withdrawn
Docetaxel-zentiva,30,Withdrawn
Pregabalin-mylan-pharma,7,Withdrawn
Palonosetron-hospira,4,Withdrawn
Skysona,0,Withdrawn
Vivanza,28,Withdrawn
Leganto,19,Withdrawn
Staquis,6,Withdrawn
Atripla,36,Withdrawn
Ytracis,7,Withdrawn
Pantoloc-control,18,Withdrawn
Docetaxel-teva,18,Withdrawn
Pemetrexed-lilly,7,Withdrawn
Equidacent,3,Withdrawn
Curevacs-covid-19-vaccine-cvncov,0,Withdrawn from rolling review
Telmisartan-teva,11,Withdrawn
Ritemvia,8,Withdrawn
Lumoxiti,0,Withdrawn
Azacitidine-celgene,2,Withdrawn
Pemetrexed-pfizer-pemetrexed-hospira-uk-limited,7,Withdrawn
Portrazza,3,Withdrawn
Ulipristal-acetate-gedeon-richter,1,Withdrawn
Ribavirin-teva-pharma-bv,14,Withdrawn
Ribavirin-teva,15,Withdrawn
Nodetrip,32,Withdrawn
Pegintron,36,Withdrawn
Truberzi,6,Withdrawn
Lextemy,0,Withdrawn
Prepandrix,13,Withdrawn
Enzepi,1,Withdrawn
Udenyca,3,Withdrawn
Halimatoz,8,Withdrawn
Clopidogrel-ratiopharm-gmbh,12,Withdrawn
Viraferonpeg,36,Withdrawn
Qutavina,0,Withdrawn
Sebivo,20,Withdrawn
Panretin,17,Withdrawn
Alpivab,2,Withdrawn
Ribavirin-mylan,10,Withdrawn
Vepacel,9,Withdrawn
Zerit,31,Withdrawn
Qtrilmet,2,Withdrawn
Duzallo,2,Withdrawn
Zurampic,4,Withdrawn
Picato,10,Withdrawn
Kolbam,14,Withdrawn
Fertavid,12,Withdrawn
Helixate-nexgen,31,Withdrawn
Osseor,19,Withdrawn
Protelos,19,Withdrawn
Kromeya,4,Withdrawn
Xiapex,20,Withdrawn
Varuby,3,Withdrawn
Iblias,4,Withdrawn
Nonafact,9,Withdrawn
Zalmoxis,1,Withdrawn
Aerivio-spiromax,2,Withdrawn
Imatinib-medac,5,Withdrawn
Taxespira,8,Withdrawn
Rituzena,7,Withdrawn
Atryn,16,Withdrawn
Airexar-spiromax,2,Withdrawn
Ketek,25,Withdrawn
Arzerra,16,Withdrawn
Silgard,33,Withdrawn
Vantobra-0,3,Withdrawn
Altargo,15,Withdrawn
Topotecan-actavis,6,Withdrawn
Cyltezo,2,Withdrawn
Solymbic,2,Withdrawn
Eperzan,8,Withdrawn
Lusduna,2,Withdrawn
Ivabradine-jensonr,0,Withdrawn
Zoledronic-acid-teva-pharma,11,Withdrawn
Trobalt,12,Withdrawn
Ionsys,2,Withdrawn
Raplixa,6,Withdrawn
Imatinib-teva-bv,0,Withdrawn
Angiox,22,Withdrawn
Intanza,18,Withdrawn
Numient,3,Withdrawn
Ariclaim,26,Withdrawn
Victrelis,22,Withdrawn
Topotecan-teva,8,Withdrawn
Zinbryta,8,Withdrawn
Olysio,13,Withdrawn
Vibativ,10,Withdrawn
Insulin-human-winthrop,15,Withdrawn
Evarrest,4,Withdrawn
Idflu,13,Withdrawn
Ristempa,3,Withdrawn
Leukoscan,7,Withdrawn
Libertek,11,Withdrawn
Daliresp,9,Withdrawn
Clopidogrel-acino,6,Withdrawn
Optimark,14,Withdrawn
Prevenar,23,Withdrawn
Clopidogrel-teva-pharma,9,Withdrawn
Zontivity,2,Withdrawn
Removab,5,Withdrawn
Vitekta,4,Withdrawn
Imprida,20,Withdrawn
Clopidogrel-acetylsalicylic-acid-teva,1,Withdrawn
Unituxin,3,Withdrawn
Dutrebis,0,Withdrawn
Rasilamlo,7,Withdrawn
Budesonide-formoterol-teva,2,Withdrawn
Budesonide-formoterol-teva-pharma-bv,1,Withdrawn
Vylaer-spiromax,3,Withdrawn
Biograstim,8,Withdrawn
Chondrocelect,6,Withdrawn
Capecitabine-sun,3,Withdrawn
Celvapan,11,Withdrawn
Pantecta-control,7,Withdrawn
Zoledronic-acid-teva-generics,2,Withdrawn
Osigraft,13,Withdrawn
Krystexxa,3,Withdrawn
Opgenra,9,Withdrawn
Repso,11,Withdrawn
Kepivance,19,Withdrawn
Nuedexta,2,Withdrawn
Nivolumab-bms,0,Withdrawn
Sonata,19,Withdrawn
Rienso,7,Withdrawn
Clopidogrel-dura,6,Withdrawn
Provenge,1,Withdrawn
Bindren,2,Withdrawn
Pumarix,4,Withdrawn
Clopidogrel-teva-pharma-bv,4,Withdrawn
Vistide,21,Withdrawn
Ipreziv,4,Withdrawn
Fluenz-0,4,Withdrawn
Topotecan-eagle,2,Withdrawn
Doribax,10,Withdrawn
Pioglitazone-krka,2,Withdrawn
Rivastigmine-3m-health-care-ltd,1,Withdrawn
Clopidogrel-qualimed,4,Withdrawn
Ioa,4,Withdrawn
Revasc,12,Withdrawn
Olanzapine-cipla,12,Withdrawn
Preotact,4,Withdrawn
Viracept,25,Withdrawn
Onduarp,2,Withdrawn
Clopidogrel-ratiopharm-0,5,Withdrawn
Rasitrio,1,Withdrawn
Sepioglin,1,Withdrawn
Trevaclyn,11,Withdrawn
Pelzont,11,Withdrawn
Tredaptive,11,Withdrawn
Bondenza,16,Withdrawn
Possia,2,Withdrawn
Riprazo,8,Withdrawn
Duloxetine-boehringer-ingelheim,2,Withdrawn
Rilonacept-regeneron,5,Withdrawn
Zerene,13,Withdrawn
Rivastigmine-teva,4,Withdrawn
Riprazo-hct,0,Withdrawn
Sprimeo-hct,0,Withdrawn
Hexavac,0,Withdrawn
Regranex,18,Withdrawn
Mabcampath,14,Withdrawn
Valtropin,5,Withdrawn
Teslascan,9,Withdrawn
Refludan,15,Withdrawn
Clopidogrel-acino-pharma-gmbh,1,Withdrawn
Clopidogrel-acino-pharma,1,Withdrawn
Clopidogrel-hexal,2,Withdrawn
Sprimeo,5,Withdrawn
Intrinsa,6,Withdrawn
Docefrez,1,Withdrawn
Photobarr,9,Withdrawn
Livensa,6,Withdrawn
Prepandemic-influenza-vaccine-h5n1-split-virion-inactivated-adjuvanted-glaxosmithkline-biologicals,3,Withdrawn
Xigris,13,Withdrawn
Ablavar,10,Withdrawn
Clopidogrel-sandoz,2,Withdrawn
Arepanrix,1,Withdrawn
Avaglim,11,Withdrawn
Filgrastim-ratiopharm,1,Withdrawn
Humenza,0,Withdrawn
Agenerase,18,Withdrawn
Enviage,4,Withdrawn
Onsenal,13,Withdrawn
Thelin,13,Withdrawn
Clopidogrel-1a-pharma,1,Withdrawn
Ionsys,3,Withdrawn
Immunogam,0,Withdrawn
Neospect,10,Withdrawn
Paxene,14,Withdrawn
Bextra,2,Withdrawn
Clopidogrel-bms,3,Withdrawn
Turvel,0,Withdrawn
Turvel-iv,0,Withdrawn
Trovan-iv,0,Withdrawn
Allex,0,Withdrawn
Evotopin,0,Withdrawn
Trovan,0,Withdrawn
Indimacis-125,0,Withdrawn
Rotashield,0,Withdrawn
Destara,0,Withdrawn
Tikosyn,0,Withdrawn
Tecnemab-k1,0,Withdrawn
Irbesartan-bms,7,Withdrawn
Irbesartan-hydrochlorothiazide-bms,8,Withdrawn
Tekturna,4,Withdrawn
Raptiva,8,Withdrawn
Parareg,6,Withdrawn
Dynepo,9,Withdrawn
Velosulin,5,Withdrawn
Zenapax,8,Withdrawn
Zimulti,8,Withdrawn
Acomplia,8,Withdrawn
Nespo,19,Withdrawn
Neupopeg,9,Withdrawn
Forcaltonin,0,Withdrawn
Viraferon,11,Withdrawn
Exubera,6,Withdrawn
Protopy,10,Withdrawn
Quintanrix,2,Withdrawn
Quixidar,10,Withdrawn
Levviax,10,Withdrawn
Monotard,0,Withdrawn
Trudexa,8,Withdrawn
Ultratard,0,Withdrawn
Fortovase,11,Withdrawn
Infergen,8,Withdrawn
Uprima,4,Withdrawn
Daquiran,5,Withdrawn
Theryttrex,1,Withdrawn
Tenecteplase-boehringer-ingelheim-pharma-gmbh-co-kg,2,Withdrawn
Cea-scan,6,Withdrawn
Rayzon,4,Withdrawn
Patrex,4,Withdrawn
Valdyn,0,Withdrawn
Infanrix-hepb,3,Withdrawn
Venvia,6,Withdrawn
Nyracta,6,Withdrawn
Taluvian,0,Withdrawn
Ixense,0,Withdrawn
Xapit,0,Withdrawn
Valdyn,0,Withdrawn
Opulis,0,Withdrawn
Cotronak,4,Withdrawn
Humaspect,0,Withdrawn
Olansek,0,Withdrawn
Hepacare,0,Withdrawn
Vitravene,0,Withdrawn
Zartra,0,Withdrawn
Triacelluvax,0,Withdrawn
Orlaam,0,Withdrawn
Vitrasert-implant,0,Withdrawn
Liprolog-0,0,Withdrawn
Echogen,0,Withdrawn
Ecokinase,0,Withdrawn
Primavax,0,Withdrawn
Pylori-chek,0,Withdrawn
