2025-07-02 10:14:56.656 | SUCCESS  | adapters.download_file:download_index:36 - Download successful from https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx
2025-07-02 10:14:58.361 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Naveruclif.pdf has been renamed to Naveruclif_old.pdf due to an update.
2025-07-02 10:14:58.363 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Sorafenib-accord.pdf has been renamed to Sorafenib-accord_old.pdf due to an update.
2025-07-02 10:14:58.364 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Jardiance.pdf has been renamed to Jardiance_old.pdf due to an update.
2025-07-02 10:14:58.367 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Bropair-spiromax.pdf has been renamed to Bropair-spiromax_old.pdf due to an update.
2025-07-02 10:14:58.367 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Levetiracetam-actavis.pdf has been renamed to Levetiracetam-actavis_old.pdf due to an update.
2025-07-02 10:14:58.368 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Glyxambi.pdf has been renamed to Glyxambi_old.pdf due to an update.
2025-07-02 10:14:58.369 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Keppra.pdf has been renamed to Keppra_old.pdf due to an update.
2025-07-02 10:14:58.370 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Levetiracetam-ratiopharm.pdf has been renamed to Levetiracetam-ratiopharm_old.pdf due to an update.
2025-07-02 10:14:58.370 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Levetiracetam-teva.pdf has been renamed to Levetiracetam-teva_old.pdf due to an update.
2025-07-02 10:14:58.371 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Emtricitabine-tenofovir-disoproxil-mylan.pdf has been renamed to Emtricitabine-tenofovir-disoproxil-mylan_old.pdf due to an update.
2025-07-02 10:14:58.372 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Levetiracetam-actavis-group.pdf has been renamed to Levetiracetam-actavis-group_old.pdf due to an update.
2025-07-02 10:14:58.373 | INFO     | core.update_rcp:rename_update_rcp:34 - The file Vyjuvek.pdf has been renamed to Vyjuvek_old.pdf due to an update.
2025-07-02 10:14:58.397 | INFO     | core.update_rcp:update_rcp:70 - Update #1 : RCP for Busulfan-fresenius-kabi added to the download list.
2025-07-02 10:14:58.398 | INFO     | core.update_rcp:update_rcp:70 - Update #2 : RCP for Constella added to the download list.
2025-07-02 10:14:58.399 | INFO     | core.update_rcp:update_rcp:70 - Update #3 : RCP for Cimzia added to the download list.
2025-07-02 10:14:58.400 | INFO     | core.update_rcp:update_rcp:70 - Update #4 : RCP for Livmarli added to the download list.
2025-07-02 10:14:58.400 | INFO     | core.update_rcp:update_rcp:70 - Update #5 : RCP for Xydalba added to the download list.
2025-07-02 10:14:58.401 | INFO     | core.update_rcp:update_rcp:70 - Update #6 : RCP for Synjardy added to the download list.
2025-07-02 10:14:58.402 | INFO     | core.update_rcp:update_rcp:70 - Update #7 : RCP for Breyanzi added to the download list.
2025-07-02 10:14:58.402 | INFO     | core.update_rcp:update_rcp:70 - Update #8 : RCP for Naveruclif added to the download list.
2025-07-02 10:14:58.403 | INFO     | core.update_rcp:update_rcp:70 - Update #9 : RCP for Sorafenib-accord added to the download list.
2025-07-02 10:14:58.403 | INFO     | core.update_rcp:update_rcp:70 - Update #10 : RCP for Jardiance added to the download list.
2025-07-02 10:14:58.404 | INFO     | core.update_rcp:update_rcp:70 - Update #11 : RCP for Bropair-spiromax added to the download list.
2025-07-02 10:14:58.405 | INFO     | core.update_rcp:update_rcp:70 - Update #12 : RCP for Levetiracetam-actavis added to the download list.
2025-07-02 10:14:58.406 | INFO     | core.update_rcp:update_rcp:70 - Update #13 : RCP for Glyxambi added to the download list.
2025-07-02 10:14:58.407 | INFO     | core.update_rcp:update_rcp:70 - Update #14 : RCP for Keppra added to the download list.
2025-07-02 10:14:58.408 | INFO     | core.update_rcp:update_rcp:70 - Update #15 : RCP for Levetiracetam-ratiopharm added to the download list.
2025-07-02 10:14:58.409 | INFO     | core.update_rcp:update_rcp:70 - Update #16 : RCP for Levetiracetam-teva added to the download list.
2025-07-02 10:14:58.410 | INFO     | core.update_rcp:update_rcp:70 - Update #17 : RCP for Emtricitabine-tenofovir-disoproxil-mylan added to the download list.
2025-07-02 10:14:58.412 | INFO     | core.update_rcp:update_rcp:70 - Update #18 : RCP for Levetiracetam-actavis-group added to the download list.
2025-07-02 10:14:58.413 | INFO     | core.update_rcp:update_rcp:70 - Update #19 : RCP for Vyjuvek added to the download list.
2025-07-02 10:14:58.461 | INFO     | adapters.download_file:download_pdf:91 - Downloading Busulfan-fresenius-kabi/1477 : Busulfan-fresenius-kabi
2025-07-02 10:14:58.469 | INFO     | adapters.download_file:download_pdf:91 - Downloading Constella/1477 : Constella
2025-07-02 10:14:58.472 | INFO     | adapters.download_file:download_pdf:91 - Downloading Cimzia/1477 : Cimzia
2025-07-02 10:14:58.477 | INFO     | adapters.download_file:download_pdf:91 - Downloading Livmarli/1477 : Livmarli
2025-07-02 10:14:58.479 | INFO     | adapters.download_file:download_pdf:91 - Downloading Xydalba/1477 : Xydalba
2025-07-02 10:14:58.637 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Livmarli. Retrying...(1/5)
2025-07-02 10:14:58.639 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Cimzia. Retrying...(1/5)
2025-07-02 10:14:58.681 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Busulfan-fresenius-kabi
2025-07-02 10:14:58.683 | INFO     | adapters.download_file:download_pdf:91 - Downloading Synjardy/1477 : Synjardy
2025-07-02 10:14:58.720 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(1/5)
2025-07-02 10:14:58.745 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Constella
2025-07-02 10:14:58.747 | INFO     | adapters.download_file:download_pdf:91 - Downloading Breyanzi/1477 : Breyanzi
2025-07-02 10:14:58.783 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Breyanzi. Retrying...(1/5)
2025-07-02 10:14:58.794 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Xydalba
2025-07-02 10:14:58.794 | INFO     | adapters.download_file:download_pdf:91 - Downloading Naveruclif/1477 : Naveruclif
2025-07-02 10:14:58.832 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(1/5)
2025-07-02 10:14:59.824 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Breyanzi. Retrying...(2/5)
2025-07-02 10:15:00.676 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Livmarli. Retrying...(2/5)
2025-07-02 10:15:00.762 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(2/5)
2025-07-02 10:15:00.876 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(2/5)
2025-07-02 10:15:01.915 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(3/5)
2025-07-02 10:15:03.807 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Synjardy. Retrying...(3/5)
2025-07-02 10:15:05.871 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Breyanzi. Retrying...(3/5)
2025-07-02 10:15:07.694 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Cimzia. Retrying...(2/5)
2025-07-02 10:15:07.958 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(4/5)
