2025-06-27 13:00:53.075 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Hetlioz
2025-06-27 13:02:01.539 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tovanor-breezhaler. Retrying...(2/5)
2025-06-27 13:02:01.587 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Integrilin
2025-06-27 13:02:01.595 | INFO     | adapters.download_file:download_pdf:92 - Downloading 629/638 : Verquvo
2025-06-27 13:02:01.637 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Verquvo. Retrying...(1/5)
2025-06-27 13:02:06.323 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Tractocile
2025-06-27 13:02:06.330 | INFO     | adapters.download_file:download_pdf:92 - Downloading 630/638 : Levemir
2025-06-27 13:02:06.591 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Levemir
2025-06-27 13:02:06.592 | INFO     | adapters.download_file:download_pdf:92 - Downloading 631/638 : Busulfan-fresenius-kabi
2025-06-27 13:02:06.685 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Busulfan-fresenius-kabi. Retrying...(1/5)
2025-06-27 13:02:07.932 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Fiasp. Retrying...(2/5)
2025-06-27 13:02:09.321 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Grastofil. Retrying...(3/5)
2025-06-27 13:02:13.839 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Verquvo
2025-06-27 13:02:13.840 | INFO     | adapters.download_file:download_pdf:92 - Downloading 632/638 : Livogiva
2025-06-27 13:02:13.885 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Livogiva. Retrying...(1/5)
2025-06-27 13:02:15.610 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tovanor-breezhaler. Retrying...(3/5)
2025-06-27 13:02:15.930 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Livogiva. Retrying...(2/5)
2025-06-27 13:02:16.969 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Livogiva. Retrying...(3/5)
2025-06-27 13:02:17.370 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Grastofil. Retrying...(4/5)
2025-06-27 13:02:18.978 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Fiasp. Retrying...(3/5)
2025-06-27 13:02:21.723 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Busulfan-fresenius-kabi. Retrying...(2/5)
2025-06-27 13:02:23.668 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tovanor-breezhaler. Retrying...(4/5)
2025-06-27 13:02:25.722 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tovanor-breezhaler. Retrying...(5/5)
2025-06-27 13:02:27.434 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Grastofil. Retrying...(5/5)
2025-06-27 13:02:29.732 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Tovanor-breezhaler
2025-06-27 13:02:29.739 | INFO     | adapters.download_file:download_pdf:92 - Downloading 633/638 : Yttriga
2025-06-27 13:02:29.785 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Yttriga. Retrying...(1/5)
2025-06-27 13:02:31.012 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Livogiva. Retrying...(4/5)
2025-06-27 13:02:31.226 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Fiasp
2025-06-27 13:02:31.227 | INFO     | adapters.download_file:download_pdf:92 - Downloading 634/638 : Odomzo
2025-06-27 13:02:31.262 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Odomzo. Retrying...(1/5)
2025-06-27 13:02:32.314 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Odomzo. Retrying...(2/5)
2025-06-27 13:02:35.772 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Busulfan-fresenius-kabi. Retrying...(3/5)
2025-06-27 13:02:36.449 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Grastofil
2025-06-27 13:02:36.456 | INFO     | adapters.download_file:download_pdf:92 - Downloading 635/638 : Olazax
2025-06-27 13:02:36.490 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Olazax. Retrying...(1/5)
2025-06-27 13:02:42.070 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Yttriga
2025-06-27 13:02:42.071 | INFO     | adapters.download_file:download_pdf:92 - Downloading 636/638 : Visudyne
2025-06-27 13:02:42.236 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Visudyne
2025-06-27 13:02:42.237 | INFO     | adapters.download_file:download_pdf:92 - Downloading 637/638 : Cyanokit
2025-06-27 13:02:42.275 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Cyanokit. Retrying...(1/5)
2025-06-27 13:02:43.380 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Odomzo. Retrying...(3/5)
2025-06-27 13:02:45.319 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Cyanokit. Retrying...(2/5)
2025-06-27 13:02:45.821 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Busulfan-fresenius-kabi. Retrying...(4/5)
2025-06-27 13:02:46.059 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Livogiva. Retrying...(5/5)
2025-06-27 13:02:47.438 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Odomzo. Retrying...(4/5)
2025-06-27 13:02:47.533 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Olazax. Retrying...(2/5)
2025-06-27 13:02:48.869 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Busulfan-fresenius-kabi. Retrying...(5/5)
2025-06-27 13:02:50.061 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Livogiva
2025-06-27 13:02:50.068 | INFO     | adapters.download_file:download_pdf:92 - Downloading 638/638 : Clopidogrel-hcs
2025-06-27 13:02:50.109 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Clopidogrel-hcs. Retrying...(1/5)
2025-06-27 13:02:57.608 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Cyanokit
2025-06-27 13:02:57.736 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Odomzo
2025-06-27 13:02:57.881 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Busulfan-fresenius-kabi
2025-06-27 13:03:01.578 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Olazax. Retrying...(3/5)
2025-06-27 13:03:03.304 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Clopidogrel-hcs
2025-06-27 13:03:17.406 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Olazax
2025-06-27 13:03:17.444 | INFO     | adapters.download_file:retry_failed_downloads:200 - 336 files remain to be downloaded.
2025-06-27 13:03:17.444 | INFO     | adapters.download_file:download_files:239 - Retrying failed files...
2025-06-27 13:03:17.478 | INFO     | adapters.download_file:download_pdf:92 - Downloading 1/336 : Perjeta
2025-06-27 13:03:17.479 | INFO     | adapters.download_file:download_pdf:92 - Downloading 2/336 : Korjuny
2025-06-27 13:03:17.479 | INFO     | adapters.download_file:download_pdf:92 - Downloading 3/336 : Nustendi
2025-06-27 13:03:17.480 | INFO     | adapters.download_file:download_pdf:92 - Downloading 4/336 : Lemtrada
2025-06-27 13:03:17.480 | INFO     | adapters.download_file:download_pdf:92 - Downloading 5/336 : Axura
2025-06-27 13:03:17.590 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Korjuny. Retrying...(1/5)
2025-06-27 13:03:17.591 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Lemtrada. Retrying...(1/5)
2025-06-27 13:03:17.593 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Perjeta. Retrying...(1/5)
2025-06-27 13:03:17.595 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Axura. Retrying...(1/5)
2025-06-27 13:03:17.818 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Nustendi
2025-06-27 13:03:17.820 | INFO     | adapters.download_file:download_pdf:92 - Downloading 6/336 : Tabrecta
2025-06-27 13:03:17.855 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tabrecta. Retrying...(1/5)
2025-06-27 13:03:18.644 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Axura. Retrying...(2/5)
2025-06-27 13:03:19.636 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Perjeta. Retrying...(2/5)
2025-06-27 13:03:21.689 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Axura. Retrying...(3/5)
2025-06-27 13:03:23.632 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Lemtrada. Retrying...(2/5)
2025-06-27 13:03:23.683 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Perjeta. Retrying...(3/5)
2025-06-27 13:03:24.903 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tabrecta. Retrying...(2/5)
2025-06-27 13:03:28.737 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Axura. Retrying...(4/5)
2025-06-27 13:03:31.817 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Korjuny
2025-06-27 13:03:31.818 | INFO     | adapters.download_file:download_pdf:92 - Downloading 7/336 : Sprycel
2025-06-27 13:03:31.856 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Sprycel. Retrying...(1/5)
2025-06-27 13:03:32.968 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tabrecta. Retrying...(3/5)
2025-06-27 13:03:33.681 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Lemtrada. Retrying...(3/5)
2025-06-27 13:03:37.734 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Perjeta. Retrying...(4/5)
2025-06-27 13:03:39.794 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Axura. Retrying...(5/5)
2025-06-27 13:03:41.787 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Perjeta. Retrying...(5/5)
2025-06-27 13:03:43.789 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Perjeta
2025-06-27 13:03:43.795 | INFO     | adapters.download_file:download_pdf:92 - Downloading 8/336 : Aquipta
2025-06-27 13:03:43.833 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Aquipta. Retrying...(1/5)
2025-06-27 13:03:45.896 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Sprycel. Retrying...(2/5)
2025-06-27 13:03:46.914 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Lemtrada
2025-06-27 13:03:46.915 | INFO     | adapters.download_file:download_pdf:92 - Downloading 9/336 : Myalepta
2025-06-27 13:03:46.951 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Myalepta. Retrying...(1/5)
2025-06-27 13:03:47.948 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Sprycel. Retrying...(3/5)
2025-06-27 13:03:48.007 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tabrecta. Retrying...(4/5)
2025-06-27 13:03:51.004 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Myalepta. Retrying...(2/5)
2025-06-27 13:03:52.803 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Axura
2025-06-27 13:03:52.808 | INFO     | adapters.download_file:download_pdf:92 - Downloading 10/336 : Pergoveris
2025-06-27 13:03:52.848 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pergoveris. Retrying...(1/5)
2025-06-27 13:03:53.991 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Sprycel. Retrying...(4/5)
2025-06-27 13:03:54.877 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Aquipta. Retrying...(2/5)
2025-06-27 13:03:55.052 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Sprycel. Retrying...(5/5)
2025-06-27 13:03:59.893 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pergoveris. Retrying...(2/5)
2025-06-27 13:04:01.052 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Myalepta. Retrying...(3/5)
2025-06-27 13:04:02.239 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Tabrecta
2025-06-27 13:04:02.240 | INFO     | adapters.download_file:download_pdf:92 - Downloading 11/336 : Atazanavir-viatris
2025-06-27 13:04:02.276 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Atazanavir-viatris. Retrying...(1/5)
2025-06-27 13:04:03.931 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Aquipta. Retrying...(3/5)
2025-06-27 13:04:04.944 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pergoveris. Retrying...(3/5)
2025-06-27 13:04:09.100 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Myalepta. Retrying...(4/5)
2025-06-27 13:04:10.069 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Sprycel
2025-06-27 13:04:10.076 | INFO     | adapters.download_file:download_pdf:92 - Downloading 12/336 : Eltrombopag-accord
2025-06-27 13:04:10.128 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Eltrombopag-accord. Retrying...(1/5)
2025-06-27 13:04:12.979 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Aquipta. Retrying...(4/5)
2025-06-27 13:04:12.991 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pergoveris. Retrying...(4/5)
2025-06-27 13:04:15.547 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Atazanavir-viatris
2025-06-27 13:04:15.548 | INFO     | adapters.download_file:download_pdf:92 - Downloading 13/336 : Trumenba
2025-06-27 13:04:15.583 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Trumenba. Retrying...(1/5)
2025-06-27 13:04:16.142 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Myalepta. Retrying...(5/5)
2025-06-27 13:04:17.040 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pergoveris. Retrying...(5/5)
2025-06-27 13:04:22.175 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Aquipta
2025-06-27 13:04:22.176 | INFO     | adapters.download_file:download_pdf:92 - Downloading 14/336 : Arexvy
2025-06-27 13:04:22.215 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Arexvy. Retrying...(1/5)
2025-06-27 13:04:23.148 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Myalepta
2025-06-27 13:04:23.154 | INFO     | adapters.download_file:download_pdf:92 - Downloading 15/336 : Ahzantive
2025-06-27 13:04:23.169 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Eltrombopag-accord. Retrying...(2/5)
2025-06-27 13:04:23.191 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ahzantive. Retrying...(1/5)
2025-06-27 13:04:25.633 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Trumenba. Retrying...(2/5)
2025-06-27 13:04:28.053 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Pergoveris
2025-06-27 13:04:28.059 | INFO     | adapters.download_file:download_pdf:92 - Downloading 16/336 : Rivastigmine-actavis
2025-06-27 13:04:28.094 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Rivastigmine-actavis. Retrying...(1/5)
2025-06-27 13:04:29.351 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Eltrombopag-accord
2025-06-27 13:04:29.352 | INFO     | adapters.download_file:download_pdf:92 - Downloading 17/336 : Baiama
2025-06-27 13:04:29.387 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Baiama. Retrying...(1/5)
2025-06-27 13:04:30.142 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Rivastigmine-actavis. Retrying...(2/5)
2025-06-27 13:04:30.239 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ahzantive. Retrying...(2/5)
2025-06-27 13:04:32.194 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Rivastigmine-actavis. Retrying...(3/5)
2025-06-27 13:04:32.288 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ahzantive. Retrying...(3/5)
2025-06-27 13:04:34.238 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Rivastigmine-actavis. Retrying...(4/5)
2025-06-27 13:04:35.437 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Baiama. Retrying...(2/5)
2025-06-27 13:04:36.262 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Arexvy. Retrying...(2/5)
2025-06-27 13:04:36.297 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Rivastigmine-actavis. Retrying...(5/5)
2025-06-27 13:04:39.694 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Trumenba. Retrying...(3/5)
2025-06-27 13:04:42.338 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ahzantive. Retrying...(4/5)
2025-06-27 13:04:42.508 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Baiama. Retrying...(3/5)
2025-06-27 13:04:47.300 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Rivastigmine-actavis
2025-06-27 13:04:47.302 | INFO     | adapters.download_file:download_pdf:92 - Downloading 18/336 : Steqeyma
2025-06-27 13:04:47.340 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Steqeyma. Retrying...(1/5)
2025-06-27 13:04:49.305 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Arexvy. Retrying...(3/5)
2025-06-27 13:04:49.883 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Trumenba
